"","Antal laddhybrider","Antal elbilar","Antal laddbara fordon","Laddbara fordon/capita","Antal laddpunkter","Antal laddstationer","DC laddstationer","LP/capita","LP/Personbil","Andel av bilbestånd","CPEV"
"ÅNGE","112","104","223","2,44","34","8","5","0,37","0,61","3,84","0,15"
"ÅRE","203","296","515","4,18","189","29","10","1,53","2,76","7,3","0,37"
"ÅRJÄNG","109","130","245","2,47","81","10","9","0,82","1,27","3,75","0,33"
"ÅSELE","35","20","56","2,01","4","1","1","0,14","0,24","3,28","0,07"
"ÅSTORP","204","277","491","3","42","4","2","0,26","0,51","5,8","0,09"
"ÅTVIDABERG","205","233","447","3,88","0","0","0","0","0","6,89","0"
"ÄLMHULT","545","393","962","5,32","115","27","2","0,64","1,27","10,39","0,12"
"ÄLVDALEN","64","51","120","1,71","62","13","4","0,88","1,27","2,35","0,52"
"ÄLVKARLEBY","119","140","270","2,81","68","15","0","0,71","1,37","5,23","0,25"
"ÄLVSBYN","81","116","205","2,59","22","7","3","0,28","0,45","4,03","0,11"
"ÄNGELHOLM","1074","1451","2678","6,05","114","21","2","0,26","0,48","10,72","0,04"
"ÖCKERÖ","265","323","613","4,79","12","2","0","0,09","0,2","9,8","0,02"
"ÖDESHÖG","63","119","187","3,52","58","14","5","1,09","1,84","5,77","0,31"
"ÖREBRO","3454","3788","7529","4,76","555","67","19","0,35","0,82","10,65","0,07"
"ÖRKELLJUNGA","107","118","239","2,29","35","7","6","0,33","0,59","3,8","0,15"
"ÖRNSKÖLDSVIK","1011","1121","2249","4,05","146","23","12","0,26","0,46","6,72","0,06"
"ÖSTERSUND","1146","1612","3030","4,68","278","46","10","0,43","0,84","8,29","0,09"
"ÖSTERÅKER","1642","1871","3559","7,24","96","20","4","0,2","0,44","16,24","0,03"
"ÖSTHAMMAR","327","396","744","3,33","46","8","3","0,21","0,37","5,81","0,06"
"ÖSTRA GÖINGE","198","246","460","3,16","8","2","1","0,05","0,1","5,57","0,02"
"ÖVERKALIX","23","28","52","1,65","15","5","1","0,47","0,7","2,37","0,29"
"ÖVERTORNEÅ","40","43","84","2,04","3","1","1","0,07","0,11","3,17","0,04"
